Ligand_ID,Target,Affinity
compound_69204715_3d,P3,-7.7
CHEMBL3301593,P3,-7.7
compound_53147110_3d,P3,-7.7
compound_85599981_3d,P3,-7.7
compound_42226635_3d,P3,-7.7
compound_96464562_3d,P3,-7.7
compound_136951058_3d,P3,-7.6
compound_60387238_3d,P3,-7.6
compound_129604371_3d,Interface,-7.6
compound_148744304_3d,P3,-7.6
compound_2325045_3d,P3,-7.6
compound_18986370_3d,P3,-7.6
compound_54757358_3d,P3,-7.6
compound_6747668_3d,P3,-7.6
compound_92567919_3d,P3,-7.6
compound_76905319_3d,P3,-7.6
CHEMBL45305,P3,-7.6
compound_135844884_3d,P3,-7.6
compound_133375639_3d,P3,-7.6
compound_42933972_3d,P3,-7.6
CHEMBL456655,Interface,-7.6
compound_113204897_3d,P3,-7.6
compound_26969575_3d,P3,-7.5
compound_94661870_3d,P3,-7.5
compound_78355254_3d,P3,-7.5
CHEMBL1743213,P3,-7.5
compound_33349126_3d,P3,-7.5
CHEMBL1106,P3,-7.5
compound_36512461_3d,P3,-7.5
compound_119122032_3d,P3,-7.5
compound_60051374_3d,P3,-7.5
CHEMBL1055,P3,-7.5
compound_76671761_3d,P3,-7.5
compound_16719252_3d,P3,-7.4
compound_119164152_3d,P3,-7.4
ml184_similar_125611704,P3,-7.4
compound_134366336_3d,P3,-7.4
CHEMBL28564,P3,-7.4
compound_53448020_3d,P3,-7.4
compound_67097559_3d,P3,-7.4
compound_121494740_3d,P3,-7.4
compound_71087519_3d,P3,-7.4
compound_29564627_3d,P3,-7.4
compound_9819024_3d,P3,-7.4
compound_10338907_3d,P3,-7.4
compound_73952742_3d,P3,-7.3
compound_122506314_3d,P3,-7.3
compound_73431969_3d,P3,-7.3
CHEMBL464379,P3,-7.3
CHEMBL2035087,P3,-7.3
compound_137161245_3d,P3,-7.3
compound_44395786_3d,P3,-7.3
CHEMBL223228,P3,-7.3
CHEMBL2047366,P3,-7.3
CHEMBL4650324,P3,-7.3
compound_52548304_3d,P3,-7.2
compound_35027676_3d,P3,-7.1
CHEMBL2107396,P3,-7.0
compound_125527281_3d,P3,-6.8
compound_66020640_3d,P3,-6.8
CHEMBL220808,P3,-6.5
